cheep	A chirp, peep, or squeak, as of a young bird or mouse.
sting	Any sharp organ of offense and defense, especially when connected with a poison gland, and adapted to inflict a wound by piercing; as the caudal sting of a scorpion. The sting of a bee or wasp is a modified ovipositor. The caudal sting, or spine, of a sting ray is a modified dorsal fin ray. The term is sometimes applied to the fang of a serpent. See Illust. of Scorpion.
creek	A small inlet or bay, narrower and extending further into the land than a cove; a recess in the shore of the sea, or of a river.
prief	Proof.
quish	See Cuish.
twite	The mountain linnet (Linota flavirostris).
zocor	a trade name for simvastatin.
zohar	A Jewish cabalistic book attributed by tradition to Rabbi Simon ben Yochi, who lived about the end of the 1st century, a. d.  Modern critics believe it to be a compilation of the 13th century.
astel	An arch, or ceiling, of boards, placed over the men's heads in a mine.
canid	any doglike animal of the family canidae.
pavan	A stately and formal Spanish dance for which full state costume is worn; -- so called from the resemblance of its movements to those of the peacock.
trave	A crossbeam; a lay of joists.
trass	A white to gray volcanic tufa, formed of decomposed trachytic cinders; -- sometimes used as a cement. Hence, a coarse sort of plaster or mortar, durable in water, and used to line cisterns and other reservoirs of water.
ethic	the principles of right and wrong that are accepted by an individual or a social group; as, the Puritan ethic.
flier	One who flies or flees; a runaway; a fugitive.
puppy	The young of a canine animal, esp. of the common dog; a whelp.
sylva	Same as Silva.
tango	a musical tune appropriate for this dance.
tythe	See Tithe.
fumet	A high-flavored substance, such as extract of game, for flavoring dishes of food; less properly, a ragout of partridge and rabbit braised in wine.
glist	Glimmer; mica.
pyrus	A genus of rosaceous trees and shrubs having pomes for fruit. It includes the apple, crab apple, pear, chokeberry, sorb, and mountain ash.
weder	Weather.
wagel	See Waggel.
brink	The edge, margin, or border of a steep place, as of a precipice; a bank or edge, as of a river or pit; a verge; a border; as, the brink of a chasm. Also Fig.
feint	That which is feigned; an assumed or false appearance; a pretense; a stratagem; a fetch.
moton	A small plate covering the armpit in armor of the 14th century and later.
pucel	See Pucelle.
shove	The act of shoving; a forcible push.
shute	Same as Chute, or Shoot.
chout	An assessment equal to a fourth part of the revenue.
nares	The nostrils or nasal openings, -- the anterior nares being the external or proper nostrils, and the posterior nares, the openings of the nasal cavities into the mouth or pharynx.
snath	The handle of a scythe; a snead.
druid	One of an order of priests which in ancient times existed among certain branches of the Celtic race, especially among the Gauls and Britons.
letts	An Indo-European people, allied to the Lithuanians and Old Prussians, and inhabiting a part of the Baltic provinces of Russia.
nurse	One who nourishes; a person who supplies food, tends, or brings up; as: (a) A woman who has the care of young children; especially, one who suckles an infant not her own. (b) A person, especially a woman, who has the care of the sick or infirm.
rhumb	A line which crosses successive meridians at a constant angle; -- called also rhumb line, and loxodromic curve. See Loxodromic.
jesse	A candlestick with many branches, each of which bears the name of some one of the descendants of Jesse; -- called also  tree of Jesse.
mabby	A spirituous liquor or drink distilled from potatoes; -- used in the Barbadoes.
seint	A saint.
stuck	A thrust.
brawl	A noisy quarrel; loud, angry contention; a wrangle; a tumult; as, a drunken brawl.
mulse	Wine boiled and mingled with honey.
opera	A drama, either tragic or comic, of which music forms an essential part; a drama wholly or mostly sung, consisting of recitative, arias, choruses, duets, trios, etc., with orchestral accompaniment, preludes, and interludes, together with appropriate costumes, scenery, and action; a lyric drama.
pagod	A pagoda.
prick	To pierce slightly with a sharp-pointed instrument or substance; to make a puncture in, or to make by puncturing; to drive a fine point into; as, to prick one with a pin, needle, etc.; to prick a card; to prick holes in paper.
ready	Ready money; cash; -- commonly with the; as, he was well supplied with the ready.
smile	The act of smiling; a peculiar change or brightening of the face, which expresses pleasure, moderate joy, mirth, approbation, or kindness; -- opposed to frown.
adult	A person, animal, or plant grown to full size and strength; one who has reached maturity.
anion	An electro-negative atom or group of atoms, or the element which, in electro-chemical decompositions, is evolved at the anode; -- opposed to cation.
bekah	Half a shekel.
hasty	Involving haste; done, made, etc., in haste; as, a hasty retreat; a hasty sketch.
manta	The manta ray.  See also Cephaloptera and Sea devil.
towel	A cloth used for wiping, especially one used for drying anything wet, as the person after a bath.
numps	A dolt; a blockhead.
chyme	The pulpy mass of semi-digested food in the small intestines just after its passage from the stomach. It is separated in the intestines into chyle and excrement. See Chyle.
hunch	A hump; a protuberance.
sikhs	A religious sect noted for warlike traits, founded in the Punjab at the end of the 15th century.
annoy	A feeling of discomfort or vexation caused by what one dislikes; also, whatever causes such a feeling; as, to work annoy.
humor	Moisture, especially, the moisture or fluid of animal bodies, as the chyle, lymph, etc.; as, the humors of the eye, etc.
shide	A thin board; a billet of wood; a splinter.
cisco	The Lake herring (Coregonus Artedi), valuable food fish of the Great Lakes of North America. The name is also applied to Coregonus Hoyi, a related species of Lake Michigan.
croat	A native or resident of Croatia.
freak	A sudden causeless change or turn of the mind; a whim of fancy; a capricious prank; a vagary or caprice.
iowas	A tribe of Indians which formerly occupied the region now included in the State of Iowa.
panne	A fabric resembling velvet, but having the nap flat and less close.
reame	Realm.
drill	Same as Drilling.
augur	An official diviner who foretold events by the singing, chattering, flight, and feeding of birds, or by signs or omens derived from celestial phenomena, certain appearances of quadrupeds, or unusual occurrences.
ginep	A tropical American tree (Melicocca bijuga) bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp.
skout	A guillemot.
stive	The floating dust in flour mills caused by the operation or grinding.
skean	A knife or short dagger, esp. that in use among the Highlanders of Scotland. [Variously spelt.]
pekan	See Fisher, 2.
adept	One fully skilled or well versed in anything; a proficient; as, adepts in philosophy.
cuddy	The coalfish (Pollachius carbonarius).
doree	A European marine fish (Zeus faber), of a yellow color. See Illust. of John Doree.
dross	The scum or refuse matter which is thrown off, or falls from, metals in smelting the ore, or in the process of melting; recrement.
guama	A tropical tree of Central America and the West Indies and Puerto Rico (Inga laurina) having spikes of white flowers; it is used as shade for coffee plantations.
hindi	The name given by Europeans to that form of the Hindustani language which is chiefly spoken by native Hindus. In employs the Devanagari character, in which Sanskrit is written.
lytta	A fibrous and muscular band lying within the longitudinal axis of the tongue in many mammals, as the dog.
slows	Milk sickness.
cleft	A space or opening made by splitting; a crack; a crevice; as, the cleft of a rock.
grave	An excavation in the earth as a place of burial; also, any place of interment; a tomb; a sepulcher. Hence: Death; destruction.
grasp	A gripe or seizure of the hand; a seizure by embrace, or infolding in the arms.
medic	A person who serves to provide medical care.
zemni	The blind mole rat (Spalax typhlus), native of Eastern Europe and Asia. Its eyes and ears are rudimentary, and its fur is soft and brownish, more or less tinged with gray. It constructs extensive burrows.
calyx	The covering of a flower. See Flower.
madge	The magpie.
nonda	The edible plumlike fruit of the Australian tree, Parinarium Nonda.
psalm	A sacred song; a poetical composition for use in the praise or worship of God.
pygmy	One of a fabulous race of dwarfs who waged war with the cranes, and were destroyed.
burse	A purse; also, a vesicle; a pod; a hull.
drink	Liquid to be swallowed; any fluid to be taken into the stomach for quenching thirst or for other purposes, as water, coffee, or decoctions.
fruit	Whatever is produced for the nourishment or enjoyment of man or animals by the processes of vegetable growth, as corn, grass, cotton, flax, etc.; -- commonly used in the plural.
igloo	An Eskimo snow house.
sword	An offensive weapon, having a long and usually sharp-pointed blade with a cutting edge or edges. It is the general term, including the small sword, rapier, saber, scimiter, and many other varieties.
swoon	A fainting fit; syncope.
crown	To cover, decorate, or invest with a crown; hence, to invest with royal dignity and power.
gurts	Groats.
ultra	One who advocates extreme measures; an ultraist; an extremist; a radical.
calla	A genus of plants, of the order Arace<ae/.
patas	A West African long-tailed monkey (Cercopithecus ruber); the red monkey.
wares	See 4th Ware.
youze	The cheetah.
coign	A var. spelling of Coin, Quoin, a corner, wedge; -- chiefly used in the phrase coign of vantage, a position advantageous for action or observation.
morse	A clasp for fastening garments in front.
prees	Press; throng.
pheer	See 1st Fere.
brack	Salt or brackish water.
mopus	A mope; a drone.
sunny	See Sunfish (b).
mahdi	Among Muslims, the last imam or leader of the faithful.  The Sunni, the largest sect of the Muslims, believe that he is yet to appear.
blunt	A fencer's foil.
hooky	A word used only in the expression to play hooky, to be truant, to run away; -- used mostly of youths absent from school without a valid reason and without the knowledge of their parents.  Also (figuratively and jocosely), to be absent from duty for frivolous reasons.
logic	The science or art of exact reasoning, or of pure and formal thought, or of the laws according to which the processes of pure thinking should be conducted; the science of the formation and application of general notions; the science of generalization, judgment, classification, reasoning, and systematic arrangement; the science of correct reasoning.
piton	A metal spike having a sharpened point on one end, and a hole through which a rope can be passed on the other; it is driven into the face of a rock cliff during climbing, and used as an anchor point for a rope.
swath	A line of grass or grain cut and thrown together by the scythe in mowing or cradling.
sindi	A native of Sind, India, esp. one of the native Hindoo stock.
cloot	One of the divisions of a cleft hoof, as in the ox; also, the whole hoof.
fauld	The arch over the dam of a blast furnace; the tymp arch.
murth	Plenty; abundance.
stail	A handle, as of a mop; a stale.
suede	Swedish glove leather, -- usually made from lambskins tanned with willow bark. Also used adjectively; as, suede gloves; blue suede shoes.
argal	Crude tartar. See Argol.
hythe	A small haven. See Hithe.
linne	Flax. See Linen.
novum	A game at dice, properly called novem quinque (L., nine five), the two principal throws being nine and five.
smalt	A deep blue pigment or coloring material used in various arts. It is a vitreous substance made of cobalt, potash, and calcined quartz fused, and reduced to a powder.
smock	A woman's under-garment; a shift; a chemise.
agnus	Agnus Dei.
covin	A collusive agreement between two or more persons to prejudice a third.
huzza	A shout of huzza; a cheer; a hurrah.
salvo	A concentrated fire from pieces of artillery, as in endeavoring to make a break in a fortification; a volley.
genio	A man of a particular turn of mind.
romic	A method of notation for all spoken sounds, proposed by Mr. Sweet; -- so called because it is based on the common Roman-letter alphabet. It is like the palaeotype of Mr. Ellis in the general plan, but simpler.
rotta	See Rota.
capon	A castrated cock, esp. when fattened; a male chicken gelded to improve his flesh for the table.
gansa	Same as Ganza.
pansy	A plant of the genus Viola (Viola tricolor) and its blossom, originally purple and yellow.  Cultivated varieties have very large flowers of a great diversity of colors.  Called also heart's-ease, love-in-idleness, and many other quaint names.
garum	A sauce made of small fish. It was prized by the ancients.
infix	Something infixed.
sprew	Thrush.
truss	To bind or pack close; to tie up tightly; to make into a truss.
caput	The head; also, a knoblike protuberance or capitulum.
mamma	A glandular organ for secreting milk, characteristic of all mammals, but usually rudimentary in the male; a mammary gland; a breast; udder; bag.
usnea	A genus of lichens, most of the species of which have long, gray, pendulous, and finely branched fronds. Usnea barbata is the common bearded lichen which grows on branches of trees in northern forests.
crank	To run with a winding course; to double; to crook; to wind and turn.
honey	A sweet viscid fluid, esp. that collected by bees from flowers of plants, and deposited in the cells of the honeycomb.
loasa	any of various perennial South American plants of the genus Loasa having stinging hairs and showy white or yellow or reddish-orange flowers.
minny	A minnow.
taboo	A total prohibition of intercourse with, use of, or approach to, a given person or thing under pain of death, -- an interdict of religious origin and authority, formerly common in the islands of Polynesia; interdiction.
verve	Excitement of imagination such as animates a poet, artist, or musician, in composing or performing; rapture; enthusiasm; spirit; energy.
wrong	Nonconformity or disobedience to lawful authority, divine or human; deviation from duty; -- the opposite of moral right.
galea	The upper lip or helmet-shaped part of a labiate flower.
mulch	Half-rotten straw, or any similar light, porous, organic substance strewn on the ground, as over the roots of plants, to protect from heat, drought, etc., and to hinder weed growth and preserve moisture.
soder	See Solder.
swipe	A swape or sweep. See Sweep.
think	Act of thinking; a thought.
cajun	In Louisiana, a person reputed to be Acadian French descent.  Also used attributively, as in Cajun cooking.
fuero	The jurisdiction of a tribunal.
golet	A California trout. See Malma.
jiffy	A moment; an instant; as, I will be ready in a jiffy.
waddy	An aboriginal war club.
brame	Sharp passion; vexation.
carex	A numerous and widely distributed genus of perennial herbaceous plants of the order Cypreace<ae/; the sedges.
feria	A week day, esp. a day which is neither a festival nor a fast.
creat	An usher to a riding master.
lisne	A cavity or hollow.
pardo	A money of account once used in in Goa, India, equivalent to about 2s. 6d. sterling. or 60 cts. (in 1913).
ruble	The unit of monetary value in Russia. <-- and, 1917-1992, in the Soviet Union --> It is divided into 100 copecks, and in the gold coin of the realm (as in the five and ten ruble pieces) is worth about 77 cents. The silver ruble is a coin worth about 60 cents.
spurt	A sudden and energetic effort, as in an emergency; an increased exertion for a brief space.
wowke	Week.
allod	See Allodium.
drone	To utter or make a low, dull, monotonous, humming or murmuring sound.
grise	A step (in a flight of stairs); a degree.
munga	See Bonnet monkey, under Bonnet.
porte	The Ottoman court; the government of the Turkish empire, officially called the Sublime Porte, from the gate (port) of the sultan's palace at which justice was administered.
turko	One of a body of native Algerian tirailleurs in the French army, dressed as a Turk.
thole	A wooden or metal pin, set in the gunwale of a boat, to serve as a fulcrum for the oar in rowing.
gruel	A light, liquid food, made by boiling meal of maize, oatmeal, or flour in water or milk; thin porridge.
hutch	A chest, box, coffer, bin, coop, or the like, in which things may be stored, or animals kept; as, a grain hutch; a rabbit hutch.
lames	Small steel plates combined together so as to slide one upon the other and form a piece of armor.
agora	An assembly; hence, the place of assembly, especially the market place, in an ancient Greek city.
blare	The harsh noise of a trumpet; a loud and somewhat harsh noise, like the blast of a trumpet; a roar or bellowing.
bulla	A bleb; a vesicle, or an elevation of the cuticle, containing a transparent watery fluid.
rimer	A tool for shaping the rimes of a ladder.
stean	See Steen.
virgo	A constellation of the zodiac, now occupying chiefly the sign Libra, and containing the bright star Spica.
calix	A cup. See Calyx.
gurry	A small fort.
whack	A smart resounding blow.
anode	The positive pole of an electric battery, or more strictly the electrode by which the current enters the electrolyte on its way to the other pole; -- opposed to cathode.
blini	Russian pancakes of buckwheat flour and yeast, sometimes made from white flour; they are usually served folded over, with caviar and sour cream on the inside; -- properly, it is a plural word (from the Russian plural of blin) but in America, often used as singular; thus the common plural blinis.
gamut	The scale.
manse	A dwelling house, generally with land attached.
pewet	Same as Pewit.
picle	A small piece of land inclosed with a hedge; a close.
veery	An American thrush (Turdus fuscescens) common in the Northern United States and Canada. It is light tawny brown above. The breast is pale buff, thickly spotted with brown. Called also Wilson's thrush.
blast	A violent gust of wind.
conga	music composed for dancing the conga.
flake	A flat layer, or fake, of a coiled cable.
plica	A disease of the hair (Plica polonica), in which it becomes twisted and matted together. The disease is of Polish origin, and is hence called also Polish plait.
ruddy	Of a red color; red, or reddish; as, a ruddy sky; a ruddy flame.
borel	See Borrel.
colon	That part of the large intestines which extends from the c<ae/cum to the rectum. [See Illust. of Digestion.]
feces	Dregs; sediment; excrement. See faeces.
scrub	One who labors hard and lives meanly; a mean fellow.
ronin	In Japan, under the feudal system, a samurai who had renounced his clan or who had been discharged or ostracized and had become a wanderer without a lord; an outcast; an outlaw.
saree	The principal garment of a Hindoo woman. It consists of a long piece of cloth, which is wrapped round the middle of the body, a portion being arranged to hang down in front, and the remainder passed across the bosom over the left shoulder.
shaps	Chaparajos.
tonic	A tonic element or letter; a vowel or a diphthong.
anger	Trouble; vexation; also, physical pain or smart of a sore, etc.
salpa	A genus of transparent, tubular, free-swimming oceanic tunicates found abundantly in all the warmer latitudes. See Illustration in Appendix.
caddy	A small box, can, or chest to keep tea in, also called tea caddy.
geese	pl. of Goose.
holly	A tree or shrub of the genus Ilex. The European species (Ilex Aquifolium) is best known, having glossy green leaves, with a spiny, waved edge, and bearing berries that turn red or yellow about Michaelmas.
boner	an embarrassing mistake.
bafta	A coarse stuff, usually of cotton, originally made in India.  Also, an imitation of this fabric made for export.
heben	Ebony.
sloom	Slumber.
spank	A blow with the open hand; a slap.
vigil	Abstinence from sleep, whether at a time when sleep is customary or not; the act of keeping awake, or the state of being awake; sleeplessness; wakefulness; watch.
widwe	A widow.
swede	A native or inhabitant of Sweden.
sunup	Sunrise.
bunch	A protuberance; a hunch; a knob or lump; a hump.
globe	A round or spherical body, solid or hollow; a body whose surface is in every part equidistant from the center; a ball; a sphere.
murre	Any one of several species of sea birds of the genus Uria, or Catarractes; a guillemot.
brood	The young birds hatched at one time; a hatch; as, a brood of chickens.
creep	The act or process of creeping.
exode	Departure; exodus; esp., the exodus of the Israelites from Egypt.
fuchs	A student of the first year.
spick	A spike or nail.
upset	The act of upsetting, or the state of being upset; an overturn; as, the wagon had an upset.
quica	A small South American opossum (Didelphys quica), native of Guiana and Brazil. It feeds upon insects, small birds, and fruit.
thyme	Any plant of the labiate genus Thymus. The garden thyme (Thymus vulgaris) is a warm, pungent aromatic, much used to give a relish to seasoning and soups.
whist	A certain game at cards; -- so called because it requires silence and close attention. It is played by four persons (those who sit opposite each other being partners) with a complete pack of fifty-two cards. Each player has thirteen cards, and when these are played out, the hand is finished, and the cards are again shuffled and distributed.
hands	a person's power or discretionary action; as, my fate is in your hands.
smite	The act of smiting; a blow.
toast	Bread dried and browned before a fire, usually in slices; also, a kind of food prepared by putting slices of toasted bread into milk, gravy, etc.
finos	Second best wool from Merino sheep.
lunet	A little moon or satellite.
suite	A retinue or company of attendants, as of a distinguished personage; as, the suite of an ambassador. See Suit, n., 5.
temps	Time.
zebec	See Xebec.
delit	Delight.
houri	A nymph of paradise; -- so called by the Muslims.
minus	A factor counted as a disadvantage; a loss or potential loss in a situation or plan; as, he added up all the pluses and minuses and decided not to do it; as, the lack of money is a big minus in an election campaign.
asper	A Turkish money of account (formerly a coin), of little value; the 120th part of a piaster.
whoop	A shout of pursuit or of war; a very of eagerness, enthusiasm, enjoyment, vengeance, terror, or the like; an halloo; a hoot, or cry, as of an owl.
etape	A public storehouse.
ogham	A particular kind of writing practiced by the ancient Irish, and found in inscriptions on stones, metals, etc.
tobit	A book of the Apocrypha.
graip	A dungfork.
havoc	A cry in war as the signal for indiscriminate slaughter.
radar	An electronic device designed to detect objects at a distance, and determine their distance from the device, by transmitting a pulse of radio waves and measuring the time required for the echo of the pulse to return to the emitting device; as, the radar showed a plane approaching rapidly.  For more information of radar, see the article <a href="radar.htm">What is Radar?.
salol	A white crystalline substance consisting of phenol salicylate.
beild	A place of shelter; protection; refuge.
chare	A chore; to chore; to do. See Char.
sargo	Any one of several species of sparoid fishes belonging to Sargus, Pomadasys, and related genera; -- called also sar, and saragu.
bizet	The upper faceted portion of a brilliant-cut diamond, which projects from the setting and occupies the zone between the girdle and the table. See Brilliant, n.
kutch	See Catechu.
phase	That which is exhibited to the eye; the appearance which anything manifests, especially any one among different and varying appearances of the same object.
stria	A minute groove, or channel; a threadlike line, as of color; a narrow structural band or line; a striation; as, the striae, or groovings, produced on a rock by a glacier passing over it; the striae on the surface of a shell; a stria of nervous matter in the brain.
brown	A dark color inclining to red or yellow, resulting from the mixture of red and black, or of red, black, and yellow; a tawny, dusky hue.
cuban	A native or an inhabitant of Cuba.
favor	To regard with kindness; to support; to aid, or to have the disposition to aid, or to wish success to; to be propitious to; to treat with consideration or tenderness; to show partiality or unfair bias towards.
grate	A structure or frame containing parallel or crosed bars, with interstices; a kind of latticework, such as is used ia the windows of prisons and cloisters.
hiems	Winter.
moder	A mother.
rayah	A person not a Mohammedan, who pays the capitation tax.
depot	A place of deposit for the storing of goods; a warehouse; a storehouse.
ideal	A mental conception regarded as a standard of perfection; a model of excellence, beauty, etc.
jerid	Same as Jereed.
kiddy	A young fellow; formerly, a low thief.
moxie	energy; pep.
sabal	A genus of palm trees including the palmetto of the Southern United States.
split	A crack, rent, or longitudinal fissure.
paste	A soft composition, as of flour moistened with water or milk, or of earth moistened to the consistence of dough, as in making potter's ware.
salix	A tree or shrub of any kind of willow.
grief	Pain of mind on account of something in the past; mental suffering arising from any cause, as misfortune, loss of friends, misconduct of one's self or others, etc.; sorrow; sadness.
modus	The arrangement of, or mode of expressing, the terms of a contract or conveyance.
algae	plural of alga.
hyrax	Any animal of the genus Hyrax, of which about four species are known.  They constitute the order Hyracoidea.  The best known species are the daman (Hyrax Syriacus) of Palestine, and the klipdas (Hyrax capensis) of South Africa.  Other species are Hyrax arboreus and Hyrax Sylvestris, the former from Southern, and the latter from Western, Africa. See Daman.
minow	See Minnow.
stent	An allotted portion; a stint.
whine	A plaintive tone; the nasal, childish tone of mean complaint; mean or affected complaint.
draff	Refuse; lees; dregs; the wash given to swine or cows; hogwash; waste matter.
nomic	Nomic spelling.
paise	See Poise.
stoup	A flagon; a vessel or measure for liquids.
ceint	A girdle.
sowse	See Souse.
snell	A short line of horsehair, gut, etc., by which a fishhook is attached to a longer line.
affix	That which is affixed; an appendage; esp. one or more letters or syllables added at the end of a word; a suffix; a postfix.
girth	To bind as with a girth.
moire	A watered, clouded, or frosted appearance on textile fabrics or metallic surfaces.
rower	One who rows with an oar.
creux	Used in English only in the expression en creux. Thus, engraving en creux is engraving in intaglio, or by sinking or hollowing out the design.
cruse	A cup or dish.
joule	A unit of work which is equal to 107 ergs (the unit of work in the C. G. S. system of units), and is equivalent to one watt-second, the energy expended in one second by an electric current of one ampere in a resistance of one ohm; also called the absolute joule.  It is abbreviated J or j.  The international joule is slightly larger, being 1.000167 times the absolute joule.  The absolute joule is approximately equal to 0.737562 foot pounds, 0.239006 gram-calories (small calories),  and 3.72506 x 10-7 horsepower-hours, and 0.000948451 B.t.u.
paten	A plate.
taxis	Manipulation applied to a hernial tumor, or to an intestinal obstruction, for the purpose of reducing it.
plitt	An instrument of punishment or torture resembling the knout, used in Russia.
spawn	The ova, or eggs, of fishes, oysters, and other aquatic animals.
scorn	To hold in extreme contempt; to reject as unworthy of regard; to despise; to contemn; to disdain.
sours	Source. See Source.
vexer	One who vexes or troubles.
felon	A person who has committed a felony.
oxbow	A frame of wood, bent into the shape of the letter U, and embracing an ox's neck as a kind of collar, the upper ends passing through the bar of the yoke; also, anything so shaped, as a bend in a river.
purim	A Jewish festival, called also the Feast of Lots, instituted to commemorate the deliverance of the Jews from the machinations of Haman.
pance	The pansy.
sicca	A seal; a coining die; -- used adjectively to designate the silver currency of the Mogul emperors, or the Indian rupee of 192 grains.
emmet	An ant.
hards	The refuse or coarse part of flax; tow.
whaup	See Whaap.
bight	A corner, bend, or angle; a hollow; as, the bight of a horse's knee; the bight of an elbow.
siroc	See Sirocco.
gable	A decorative member having the shape of a triangular gable, such as that above a Gothic arch in a doorway.
hudge	An iron bucket for hoisting coal or ore.
logos	A word; reason; speech.
skald	See 5th Scald.
timer	A timekeeper; especially, a watch by which small intervals of time can be measured; a kind of stop watch. It is used for timing the speed of horses, machinery, etc.
twink	A wink; a twinkling.
diota	A vase or drinking cup having two handles or ears.
flash	A pool.
jazel	A gem of an azure color.
lingo	Language; speech; dialect.
uvate	A conserve made of grapes.
cairn	A rounded or conical heap of stones erected by early inhabitants of the British Isles, apparently as a sepulchral monument.
doily	A kind of woolen stuff.
miaul	The crying of a cat.
noose	A running knot, or loop, which binds the closer the more it is drawn.
bogus	A liquor made of rum and molasses.
humin	A bitter, brownish yellow, amorphous substance, extracted from vegetable mold, and also produced by the action of acids on certain sugars and carbohydrates; -- called also humic acid, ulmin, gein, ulmic or geic acid, etc.
vertu	Virtue; power.  See Virtue.
arest	A support for the spear when couched for the attack.
roset	A red color used by painters.
uncle	The brother of one's father or mother; also applied to an aunt's husband; -- the correlative of aunt in sex, and of nephew and niece in relationship.
alarm	A summons to arms, as on the approach of an enemy.
fleen	Obs. pl. of Flea.
smash	A breaking or dashing to pieces; utter destruction; wreck.
snoff	A short candle end used for igniting a fuse.
yield	Amount yielded; product; -- applied especially to products resulting from growth or cultivation.
daroo	The Egyptian sycamore (Ficus Sycamorus). See Sycamore.
fives	A disease of the glands under the ear in horses; the vives.
joram	See Jorum.
laura	A number of hermitages or cells in the same neighborhood occupied by anchorites who were under the same superior.
nondo	A coarse umbelliferous plant (Ligusticum actaeifolium) with a large aromatic root.  It is found chiefly in the Alleghany region.  Also called Angelico.
unkle	See Uncle.
cagot	One of a race inhabiting the valleys of the Pyrenees, who until 1793 were political and social outcasts (Christian Pariahs). They are supposed to be a remnant of the Visigoths.
jewry	Judea; also, a district inhabited by Jews; a Jews' quarter.
toret	A ring for fastening a hawk's leash to the jesses; also, a ring affixed to the collar of a dog, etc.
rogue	A vagrant; an idle, sturdy beggar; a vagabond; a tramp.
barse	The common perch. See 1st Bass.
burel	Same as Borrel.
ebony	A hard, heavy, and durable wood, which admits of a fine polish or gloss. The usual color is black, but it also occurs red or green.
hurly	Noise; confusion; uproar.
maule	The common mallow.
ocean	The whole body of salt water which covers more than three fifths of the surface of the globe; -- called also the sea, or great sea.
raver	One who raves.
stone	To pelt, beat, or kill with stones.
sedge	Any plant of the genus Carex, perennial, endogenous, innutritious herbs, often growing in dense tufts in marshy places. They have triangular jointless stems, a spiked inflorescence, and long grasslike leaves which are usually rough on the margins and midrib. There are several hundred species.
urubu	The black vulture (Catharista atrata). It ranges from the Southern United States to South America. See Vulture.
rowen	A stubble field left unplowed till late in the autumn, that it may be cropped by cattle.
soldo	A small Italian coin worth a sou or a cent; the twentieth part of a lira.
daint	Dainty.
feast	To eat sumptuously; to dine or sup on rich provisions, particularly in large companies, and on public festivals.
glama	A copious gummy secretion of the humor of the eyelids, in consequence of some disorder; blearedness; lippitude.
vital	A vital part; one of the vitals.
cutch	See Cultch.
sarse	A fine sieve; a searce.
trice	A very short time; an instant; a moment; -- now used only in the phrase in a trice.
araba	A wagon or cart, usually heavy and without springs, and often covered.
bouri	A mullet (Mugil capito) found in the rivers of Southern Europe and in Africa.
brume	Mist; fog; vapors.
barad	The pressure of one dyne per square centimeter; -- used as a unit of pressure.
lakao	Sap green.
shame	To be ashamed; to feel shame.
croft	A small, inclosed field, adjoining a house; a small farm.
hypha	any of the threadlike filaments forming the mycelium of a fungus.  See hyphae.
jakie	A South American striped frog (Pseudis paradoxa), remarkable for having a tadpole larger than the adult, and hence called also paradoxical frog.
nauch	an intricate traditional dance in India performed by professional dancing girls.
pipra	Any one of numerous species of small clamatorial birds belonging to Pipra and allied genera, of the family Piprid<ae/. The male is usually glossy black, varied with scarlet, yellow, or sky blue. They chiefly inhabit South America.
ducky	a special loved one; a darling; -- used as a term of endearment.
fogie	See Fogy.
radii	pl. of Radius.
siren	One of three sea nymphs, -- or, according to some writers, of two, -- said to frequent an island near the coast of Italy, and to sing with such sweetness that they lured mariners to destruction.
